symbol,name,type,currency,inception_date,sector,industry
IRM,Iron Mountain,COMPANY,USD,2009-01-06,Real Estate,Specialized REITs
ISRG,Intuitive Surgical,COMPANY,USD,2008-06-02,Health Care,Health Care Equipment
IT,Gartner,COMPANY,USD,2017-04-05,Information Technology,IT Consulting & Other Services
ITW,Illinois Tool Works,COMPANY,USD,1986-02-28,Industrials,Industrial Machinery
IVZ,Invesco,COMPANY,USD,2008-08-21,Financials,Asset Management & Custody Banks
J,Jacobs Engineering Group,COMPANY,USD,2007-10-26,Industrials,Construction & Engineering
JBHT,JB Hunt,COMPANY,USD,2015-07-01,Industrials,Trucking
JCI,Johnson Controls,COMPANY,USD,2010-08-27,Industrials,Building Products
JKHY,Jack Henry & Associates,COMPANY,USD,2018-11-13,Information Technology,Data Processing & Outsourced Services
JNJ,Johnson & Johnson,COMPANY,USD,1973-06-30,Health Care,Pharmaceuticals
JNPR,Juniper Networks,COMPANY,USD,2006-06-02,Information Technology,Communications Equipment
JPM,JPMorgan Chase,COMPANY,USD,1975-06-30,Financials,Diversified Banks
K,Kellogg's,COMPANY,USD,1989-09-11,Consumer Staples,Packaged Foods & Meats
KEY,KeyCorp,COMPANY,USD,1994-03-01,Financials,Regional Banks
KEYS,Keysight Technologies,COMPANY,USD,2018-11-06,Information Technology,Electronic Equipment & Instruments
KHC,Kraft Heinz,COMPANY,USD,2015-07-06,Consumer Staples,Packaged Foods & Meats
KIM,Kimco Realty,COMPANY,USD,2006-04-04,Real Estate,Retail REITs
KLAC,KLA Corporation,COMPANY,USD,,Information Technology,Semiconductor Equipment
KMB,Kimberly-Clark,COMPANY,USD,1957-03-04,Consumer Staples,Household Products
KMI,Kinder Morgan,COMPANY,USD,2012-05-25,Energy,Oil & Gas Storage & Transportation
KMX,CarMax,COMPANY,USD,2010-06-28,Consumer Discretionary,Specialty Stores
KO,Coca-Cola Company,COMPANY,USD,1957-03-04,Consumer Staples,Soft Drinks
KR,Kroger,COMPANY,USD,1957-03-04,Consumer Staples,Food Retail
KSU,Kansas City Southern,COMPANY,USD,2013-05-24,Industrials,Railroads
L,Loews Corporation,COMPANY,USD,,Financials,Multi-line Insurance
LB,L Brands,COMPANY,USD,1983-09-30,Consumer Discretionary,Apparel Retail
LDOS,Leidos,COMPANY,USD,2019-08-09,Industrials,Diversified Support Services
LEG,Leggett & Platt,COMPANY,USD,,Consumer Discretionary,Home Furnishings
LEN,Lennar,COMPANY,USD,2005-10-04,Consumer Discretionary,Homebuilding
LH,LabCorp,COMPANY,USD,2004-11-01,Health Care,Health Care Services
LHX,L3Harris Technologies,COMPANY,USD,2008-09-22,Industrials,Aerospace & Defense
LIN,Linde,COMPANY,USD,1992-07-01,Materials,Industrial Gases
LKQ,LKQ Corporation,COMPANY,USD,2016-05-23,Consumer Discretionary,Distributors
LLY,Eli Lilly & Co,COMPANY,USD,1970-12-31,Health Care,Pharmaceuticals
LMT,Lockheed Martin,COMPANY,USD,1984-07-31,Industrials,Aerospace & Defense
LNC,Lincoln National,COMPANY,USD,1976-06-30,Financials,Multi-line Insurance
LNT,Alliant Energy,COMPANY,USD,2016-07-01,Utilities,Electric Utilities
LOW,Lowe's,COMPANY,USD,1984-02-29,Consumer Discretionary,Home Improvement Retail
LRCX,Lam Research,COMPANY,USD,2012-06-29,Information Technology,Semiconductor Equipment
LUMN,Lumen Technologies,COMPANY,USD,1999-03-25,Communication Services,Alternative Carriers
LUV,Southwest Airlines,COMPANY,USD,1994-07-01,Industrials,Airlines
LVS,Las Vegas Sands,COMPANY,USD,2019-10-03,Consumer Discretionary,Casinos & Gaming
